total,name,id
335.24000000000000000000,"(230) Aura Duke blue",230
393.20000000000000000000,"(1473) Delta Cornflower blue",1473
11.30000000000000000000,"(282) Rainbow Aero",282
81.56000000000000000000,"(1759) Infinity Dark olive green",1759
65.61000000000000000000,"(28) Aura Almond",28
191.91000000000000000000,"(426) Rainbow Copper red",426
365.68000000000000000000,"(1849) Nexus Amaranth deep purple",1849
54.33000000000000000000,"(189) Aura Dark byzantium",189
70.16000000000000000000,"(574) Synergy Baby pink",574
308.97,"(2187) Genesis Burnt umber",2187
192.84000000000000000000,"(828) Apex Atomic tangerine",828
259.41000000000000000000,"(1719) Infinity Coffee",1719
176.25000000000000000000,"(883) Apex Burlywood",883
60.69,"(1784) Infinity Denim blue",1784
4.54000000000000000000,"(965) Apex Cyber grape",965
23.65000000000000000000,"(443) Rainbow Cyan",443
384.84000000000000000000,"(1517) Delta Deep jungle green",1517
344.40000000000000000000,"(349) Rainbow Blue-violet",349
145.78000000000000000000,"(1535) Delta Eggplant",1535
10.56000000000000000000,"(2434) Momentum Bone",2434
55.12000000000000000000,"(562) Synergy Aqua",562
173.88000000000000000000,"(2222) Genesis Charm pink",2222
141.72000000000000000000,"(640) Synergy Canary yellow",640
156.35000000000000000000,"(2254) Genesis Cornsilk",2254
470.90000000000000000000,"(762) Synergy English lavender",762
26.60000000000000000000,"(2389) Momentum Aureolin",2389
135.72,"(2175) Genesis Brick red",2175
44.68000000000000000000,"(948) Apex Coquelicot",948
184.47000000000000000000,"(1005) Apex Desert",1005
119.28000000000000000000,"(2049) Nexus Drab dark brown",2049
138.54000000000000000000,"(1549) Delta Falu red",1549
72.94000000000000000000,"(2127) Genesis Ash gray",2127
180.55000000000000000000,"(2024) Nexus Dark salmon",2024
364.05000000000000000000,"(2277) Genesis Dark liver (horses)",2277
47.8,"(943) Apex Copper",943
326.24,"(2043) Nexus Denim",2043
146.61000000000000000000,"(2502) Momentum Cool grey",2502
38.12000000000000000000,"(1403) Delta Burlywood",1403
205.02000000000000000000,"(2120) Genesis Antique white",2120
7.54000000000000000000,"(810) Apex Amaranth pink",810
62.20000000000000000000,"(993) Apex Davy's grey",993
16.54000000000000000000,"(1715) Infinity Cinnamon Satin",1715
128.52000000000000000000,"(1225) Unicorn Cyber grape",1225
122.68,"(2315) Genesis Eggplant",2315
132.20000000000000000000,"(1357) Delta Banana Mania",1357
73.68000000000000000000,"(1433) Delta Celeste",1433
13.72000000000000000000,"(27) Aura Alloy orange",27
53.10000000000000000000,"(1447) Delta China pink",1447
146.20000000000000000000,"(874) Apex Bone",874
106.32000000000000000000,"(1860) Nexus Antique white",1860
86.32000000000000000000,"(484) Rainbow Denim blue",484
175.84000000000000000000,"(750) Synergy Duke blue",750
142.96000000000000000000,"(2030) Nexus Dark spring green",2030
76.16000000000000000000,"(877) Apex Bright yellow (Crayola)",877
288.66000000000000000000,"(2509) Momentum Coral",2509
417.80000000000000000000,"(1003) Apex Denim",1003
581.67,"(197) Aura Dark liver (horses)",197
454.25000000000000000000,"(1290) Unicorn Fandango",1290
